input,output
"My sourdough starter won't double in size after feeding — it rises slowly and takes over 12 hours to peak. What's wrong?","Your starter is likely too cold or underfed. Move it somewhere warmer (75–82°F/24–28°C) and switch to a 1:5:5 feeding ratio (e.g., 10g starter + 50g flour + 50g water) twice a day for 3–5 days. Add 10–20% whole grain rye or whole wheat flour to boost activity, and use filtered water at 80–90°F. Expect doubling in 4–8 hours once revived."
"My starter smells like nail polish remover or acetone. Is it ruined?","No, it's just starving. The yeast exhausted all available sugars and started producing ethyl acetate. Feed it sooner and more generously — switch to a 1:5:5 or 1:10:10 ratio for 2–3 feedings. Stir the dark hooch back in or pour it off before refeeding. The smell should normalize to a yogurt or beer aroma within 1–2 well-fed cycles. Don't bake until it does."
"There's a gray or brown liquid sitting on top of my starter. What is it?","That's hooch — it's harmless. Your starter is hungry and produced excess ethanol that separated out. Stir it back in for a tangier loaf, or pour it off for a milder flavor. Increase your feeding ratio from 1:1:1 to 1:2:2 or 1:3:3 to extend time between meals. If your starter came out of the fridge, do 2–3 room-temperature feedings at 1:5:5 before baking."
"My starter has pink or orange streaks and smells foul. What should I do?","Discard the entire starter immediately — do not bake with it. Pink or orange streaks indicate contamination by Serratia marcescens, which can cause illness. Wash and sanitize your jar and all utensils with hot soapy water, then dry completely. Start fresh from scratch or a reliable backup. Going forward, feed on schedule and keep equipment clean."
"My starter has fuzzy spots on the surface — white, green, or black. Is it mold?","Yes, that's mold. Discard the entire starter — mold hyphae thread through the whole culture even when only the surface looks fuzzy. Sterilize the jar with boiling water or a dishwasher cycle. Start fresh: expect 7–14 days to a usable starter and 4–8 weeks to full maturity. Prevent recurrence by feeding on schedule and covering loosely (not airtight)."
"My brand new starter rose dramatically on day 2 then went completely flat. Did I kill it?","No — that was a 'false rise' caused by early-stage bacteria (Leuconostoc), not real yeast activity. Keep feeding 1:1:1 twice a day at 75–85°F with whole grain flour. Expect a quiet dead zone around days 4–7 as those bacteria die off and wild yeast colonizes. Don't bake until the starter reliably doubles within 4–8 hours over multiple consecutive feedings — that typically takes 2–4 weeks total."
"My dough is impossibly sticky and won't hold its shape. It spreads flat between folds. What do I do?","Your hydration is likely too high for your flour, or your gluten isn't developed enough. First try reducing hydration by 5% on your next bake. Also add a 30–60 minute autolyse (flour + water only, before adding starter and salt), and do 4 sets of stretch-and-folds at 30-minute intervals. Use bread flour at 12–13% protein if you're using all-purpose. If the dough isn't tightening by fold 3–4, end bulk early — you may be heading into over-fermentation."
"My dough tears when I try to shape it. The surface rips and I can see wet dough inside. What went wrong?","You're either over-tightening during pre-shape or not giving the dough enough rest. Pre-shape gently — just enough to form a loose round — and then bench rest for 20–40 minutes before final shaping. Use a lightly damp bench with minimal flour. If it's still tearing, skip aggressive shaping: do a simple letter fold and place it seam-down in the banneton."
"My dough barely rose during bulk fermentation — it's dense and tight with almost no bubbles. What happened?","Bulk ended too soon, or your kitchen is too cold. Use an aliquot jar: take a small sample at the start, mark the level, and end bulk at 50–75% rise. Target a dough temperature of 76–80°F — use warm water in your mix. Rule of thumb: at 80°F bulk takes ~5 hours; at 70°F it takes ~12 hours. Only mix when your starter has doubled and passes the float test."
"My dough got too puffy and slack during bulk and now it smells strongly sour and won't spring back when poked. Is it overproofed?","Yes — bulk went too long. Shape immediately and gently with a single letter fold to preserve remaining gas. Skip the room-temp final proof and go straight into the fridge (36–39°F) for a cold retard of 2–4 hours, then bake straight from the fridge. Score deeper than usual to compensate for reduced oven spring. Next time, end bulk earlier (target 50% rise) or use slightly cooler water."
"My dough looked fine going into the fridge overnight but came out flat and spread immediately when I turned it out. What happened?","Your dough overproofed in the fridge — either the fridge runs warmer than 40°F, or bulk went too long before refrigerating. Check your fridge temperature with a thermometer; it should be 36–39°F. End bulk 15–30 minutes earlier when planning an overnight retard, and get the dough in the fridge within 30–45 minutes of shaping. Cap your retard at 12–16 hours for typical sourdough."
"My bread has no rise at all — it baked into a flat, dense puck with no oven spring. What went wrong?","The most likely culprits are a weak starter or a cold dough temperature. Use your starter only at peak — it should have at least doubled, look domed and bubbly, and pass the float test. Target a dough temperature of 76–78°F throughout bulk. Preheat your Dutch oven at 500°F for a full 60 minutes before loading. Also check that you're baking to an internal temperature of 205–210°F."
"My loaf spreads out into a flat disc as soon as I turn it out of the banneton. How do I fix this?","The dough has no surface tension — either from weak shaping or over-fermentation. Try double shaping: shape, rest 15 minutes, then re-shape with a tighter pull. After the final shape, wait 10 minutes and use the stitching method to add more tension. Make sure your banneton matches the dough size (8–9 inch round for 750–900g). Baking cold from the fridge also helps the loaf hold its shape during transfer."
"My loaf doesn't have an ear — the score just stays sealed or the bread bursts on the side. How do I fix my scoring?","Score at a 30–45 degree angle with the blade nearly parallel to the surface, in one confident arc about 1/2 inch deep. Score directly from the fridge — cold dough cuts cleanly and opens dramatically. Keep the Dutch oven lid on for the first 20–25 minutes to trap steam. Avoid sawing motions; one decisive stroke is all you need."
"My sourdough crust is extremely thick and hard — almost impossible to bite through. How do I get a thinner crust?","Shorten the uncovered bake time: try 20 minutes covered + 15–20 minutes uncovered at 450°F instead of 30+ minutes uncovered. Increase hydration toward 75–78% to generate more internal steam. Brush excess rice flour off the loaf before scoring. After baking, wrap the hot loaf in a cotton tea towel as it cools — the trapped moisture will soften the crust."
"My sourdough came out very pale — almost blonde — with no browning. How do I get a darker crust?","Verify your oven temperature with a separate oven thermometer — many ovens read 25–50°F high or low. Preheat 60 minutes at 500°F. After removing the Dutch oven lid, bake uncovered until the crust is deep golden-brown (15–25 minutes), not by the clock. If it's still pale, bump the uncovered-phase temperature up by 25°F. Also check that you're not over-proofing — overproofed dough uses up the residual sugars needed for browning."
"The outside of my loaf is burning or very dark but the center is still raw and gummy. How do I fix this?","Your oven runs hot, or the uncovered phase started too early. After the initial 20 minutes covered at 475–500°F, drop the temperature to 425–450°F for the uncovered phase. If the crust darkens too fast, tent the loaf loosely with foil for the last 10–15 minutes. Position the rack in the lower-middle and place a sheet pan on the rack below to deflect bottom heat. Always bake to internal temperature: 205–210°F in the center."
"When I slice my sourdough the crumb is wet, dense, and sticky — it balls up on the knife. What's wrong?","Most likely you cut it too soon, or it's underbaked. Cool the loaf on a wire rack for at least 1–2 hours before slicing — for high-hydration loaves, wait 4 hours or more. Bake to an internal temperature of 205–210°F measured through the bottom. If it's consistently gummy at the right temp, extend the uncovered bake by 5–10 minutes, or drop the oven 25°F and bake 10 minutes longer."
"My crumb is uniformly dense with tiny, evenly-spaced holes. How do I get a more open crumb?","This points to underfermentation or a weak starter. First, strengthen your starter — feed 1:5:5 twice daily until it consistently doubles in 4–6 hours. Then extend bulk to a 75–100% rise (use an aliquot jar to measure). Target a dough temperature of 76–80°F. Shape gently with one letter fold and a light final shape — avoid degassing aggressively. You can also try bumping hydration up by 3–5%."
"My crumb has a couple of giant holes or tunnels at the top but the rest is dense and gummy. What is fool's crumb and how do I fix it?","Fool's crumb is caused by underfermented bulk where gas pooled into a few weak spots instead of distributing evenly. Extend bulk to a 75–100% rise (not 30–50%). During pre-shape and shaping, gently press out any large bubbles you can feel under the surface. Use a more thorough shaping pattern — a letter fold plus roll, or stitching — to even out gas distribution. Also check your starter: a sluggish starter often produces fool's crumb because bulk had to be cut short."
"My dough is too stiff and dry — it tears during stretch and folds and resists stretching. How do I add more extensibility?","Increase hydration by 3–5% on your next bake. If you're using whole wheat or rye, add 5–10% extra water compared to an all-white formula at the same hydration. Always weigh flour and water in grams — volume measurements can vary by 20%+. Use the bassinage technique: hold back 5–10% of the water and add it gradually after the initial mix once you see how the flour absorbs. Cover the dough between folds to prevent a dry skin from forming."
